00 海岛鳞指套
01 海岛床
02 开拓工房珊瑚剑
03 海岛手杖
04 开拓工房蜂蜜
05 开拓工房椰汁
06 开拓工房干花
07 海岛蓝蛋白石
08 开拓工房韭葱洋葱汤
09 开拓工房辣椒粉
0a 开拓工房新薯沙拉
0b 开拓工房无人面包
0c 海岛暖炉
0d 开拓工房调味汁
0e 开拓工房泡碱
0f 海岛提灯
10 海岛墨鱼汁
11 海岛盐渍鳕鱼
12 海岛莓果酱
13 开拓工房仙药
14 开拓工房洋葱汤
15 海岛番茄酱
16 开拓工房玉米片
17 开拓工房鱼派
18 海岛铁斧
19 开拓工房腌小萝卜
1a 开拓工房瓷罐
1b 海岛石英戒指
1c 开拓工房南瓜布丁
1d 开拓工房果蔬汁
1e 海岛园艺镰
1f 海岛绵羊地毯
20 开拓工房黄油
21 海岛兽牙耳坠
22 绵羊铜像
23 海岛砖块柜台
24 海岛石榴石刺剑
25 开拓工房植物成长剂
26 开拓工房鲨油
27 海岛云杉圆盾
28 开拓工房甜新薯
29 海岛白银耳夹
2a 开拓工房焦糖
2b 开拓工房高山萝卜沙拉
2c 海岛绳索
2d 海岛缎带
2e 海岛角笛
2f 海岛骑士帽
33 开拓工房火药
3? 海岛恢复药
36 海岛开面盔
37 海岛珊瑚戒指
38 开拓工房酸泡菜
39 海岛石刃棒
3a 海岛束腰衣
3b 开拓工房烤南瓜
3c 海岛木刷
3d 海岛厨刀
3e 海岛骨拳
3f 开拓工房水煮蛋
70 开拓工房化石标本
71 开拓工房五海杂烩汤
72 海岛眼镜
73 海岛浴缸
74 开拓工房煎红花菜豆
75 开拓工房隔热玻璃
76 海岛僧厥茄子镶肉
77 开拓工房红菜汤
